Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,265.375,2.0,8.48,10.0,5.0,10.0,6.95,8.0
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,232.8889,0.0,7.45,10.0,7.0,10.0,10.0,8.5
NUEVO LIC GRANADINO,266.9565,0.0,0.0,2.0,5.0,6.5,10.0,5.0
COL BRITANICO SEDE KENNEDY,245.6923,0.0,4.25,6.0,5.0,10.0,10.0,6.0
CENT EDUC WILFREDO LEHNER,263.9348,0.0,8.65,10.0,6.0,6.5,10.0,4.75
COL COLOMBO JAPONES,236.0857,0.0,9.34,10.0,5.0,8.0,10.0,6.0
COL INST INSCAP SEDE FERIAS,233.1045,0.0,7.819999999999999,8.0,5.0,10.0,8.950000000000001,10.0
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,254.1625,0.0,2.9400000000000004,0.0,6.0,10.0,10.0,10.0
COL CIUDAD PATIO BONITO,265.8532,0.0,2.99,0.0,6.0,8.5,10.0,5.0
EXTERN SIMON BOLIVAR,230.4154,0.0,0.0,0.0,8.5,10.0,9.100000000000001,10.0
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,276.4885,0.0,7.25,10.0,5.0,10.0,10.0,4.75
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL,276.2739,0.0,5.75,2.0,6.0,6.5,10.0,4.5
COL LA NUEVA ESTANCIA,269.7308,0.0,5.25,8.0,5.0,7.25,10.0,5.25
UNID EDUC JEAN PIAGET,272.30879999999996,4.0,6.58,10.0,5.0,10.0,10.0,6.75
COL ESTRADA DE MARIA AUXILIADORA,276.125,0.0,3.4299999999999997,10.0,5.0,10.0,9.15,10.0
COLEGIO MAYOR PRIMEROS MAESTROS,283.75,0.0,4.69,4.0,5.0,10.0,10.0,9.75
INST TENERIFE,268.3256,0.0,7.790000000000001,10.0,7.0,7.75,10.0,4.75
INST ACAD BETHEL,270.72409999999996,0.0,1.06,10.0,7.0,10.0,10.0,8.25
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,272.77779999999996,0.0,6.99,10.0,5.0,7.0,10.0,5.0
COL ARTEAGA MUÑOZ,274.0,0.0,3.32,0.0,5.0,10.0,10.0,10.0
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),287.13329999999996,6.0,5.73,10.0,5.0,10.0,10.0,9.0
COLEGIO FRANCISCO I,269.1818,0.0,5.15,10.0,10.0,7.0,10.0,4.5
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,292.58820000000003,0.0,9.65,10.0,5.0,10.0,10.0,10.0
COL DEL SANTISIMO ROSARIO,300.3182,0.0,0.0,10.0,5.0,10.0,10.0,8.75
COL CATOLICO DE LA SABANA,305.07140000000004,4.0,9.13,10.0,6.0,10.0,9.7,5.0
INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,312.0,0.0,8.45,10.0,6.0,10.0,10.0,9.75
COL ADVENTISTA EMMANUEL,304.1563,0.0,4.13,10.0,6.0,10.0,10.0,10.0
INST SUP COOPERATIVO,290.4,0.0,6.85,10.0,5.0,10.0,10.0,10.0
COL TOMAS ALVA EDISON,297.24490000000003,4.0,9.95,10.0,5.0,8.25,8.1,4.0
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,294.9138,0.0,8.62,6.0,5.0,10.0,10.0,10.0
COL MARIA INMACULADA,307.4262,2.0,4.790000000000001,10.0,6.0,10.0,4.35,6.75
GIMN NUEVO SUBA,291.5696,0.0,2.64,10.0,7.5,10.0,10.0,5.25
COL NSTRA SRA DE NAZARETH,293.033,0.0,3.0,6.0,5.0,6.5,10.0,4.75
COLEGIO SANTO DOMINGO BILINGÜE,302.6176,0.0,9.3,8.0,5.0,10.0,10.0,6.75
COL CAFAM,310.6316,8.0,7.040000000000001,10.0,5.0,10.0,8.5,10.0
FUND INST TECNOLOGICO DEL SUR,291.7324,0.0,4.2,10.0,5.0,10.0,10.0,8.75
COLEGIO AGUSTINIANO TAGASTE - SEDE PRINCIPAL,328.7478,10.0,9.9,10.0,5.0,10.0,7.75,5.0
COL DE BTO UNIVERSIDAD LIBRE,324.6275,0.0,9.0,10.0,5.0,10.0,8.65,10.0
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,323.46670000000006,0.0,8.2,8.0,5.0,10.0,9.600000000000001,10.0
COL CRISTIANO SEMILLA DE VIDA,318.2041,0.0,5.73,10.0,6.0,10.0,10.0,10.0
GIMN BILING OBREGON,314.8205,6.0,9.38,10.0,5.0,8.25,10.0,5.75
COL ALFONSO JARAMILLO,336.52,4.0,6.96,10.0,5.0,10.0,5.550000000000001,7.75
C.E. FORMAL PARA ADULTOS LOS SAUCES - SEDE PRINCIPAL,226.41670000000005,2.0,7.03,10.0,5.0,6.75,10.0,3.75
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,262.17390000000006,0.0,7.05,2.0,6.0,6.0,10.0,5.0
NUEVO COL LUSADI,262.25,0.0,0.0,10.0,5.0,8.25,10.0,5.5
